Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cruise,,,,0,0,0,11,,,,,0.09255200019106269,,0.02814890001900494,0.09255200019106269,0.09255200019106269,2.2710270001553,1.0,2.1954245001543313,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
board,,,,0,1,1,4,,,,,2.3105071000754833,,2.2721270001493394,2.3105071000754833,2.3105071000754833,3.130979600129649,1.0,0.8257984002120793,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
chart,,,,0,2,2,6,,,,,3.158259600168094,,3.1312954002059996,3.158259600168094,3.158259600168094,3.9708738001063466,1.0,0.8007272998802364,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
keys,,,,0,3,3,13,,,,,4.008828700054437,,3.97154530021362,4.008828700054437,4.008828700054437,4.736051500076428,1.0,0.7182438999880105,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
police,,,,0,4,4,12,,,,,4.775425400119275,,4.736569500062615,4.775425400119275,4.775425400119275,5.469709400087595,1.0,0.6867124000564218,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
poster,,,,0,5,5,14,,,,,5.508856300031766,,5.470258200075477,5.508856300031766,5.508856300031766,6.216310800053179,1.0,0.7075336999259889,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
t-shirt,,,,0,6,6,7,,,,,6.241539400070906,,6.216838899999857,6.241539400070906,6.241539400070906,6.8655014000833035,1.0,0.6231048000045121,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
phone,,,,0,7,7,2,,,,,6.891392500139773,,6.865756300045177,6.891392500139773,6.891392500139773,7.619138500187546,1.0,0.714424500009045,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
mouse,,,,0,8,8,8,,,,,7.658796800067648,,7.619853500043973,7.658796800067648,7.658796800067648,8.336739000165835,1.0,0.6708839999046177,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
marble,,,,0,9,9,3,,,,,8.35800310014747,,8.337250200100243,8.35800310014747,8.35800310014747,9.020038900198415,1.0,0.6414570999331772,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
laptop,,,,0,10,10,5,,,,,9.05875700013712,,9.020594900008291,9.05875700013712,9.05875700013712,9.603624200215563,1.0,0.537559499964118,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
pastry,,,,0,11,11,9,,,,,9.62466700002551,,9.604114999994636,9.62466700002551,9.62466700002551,10.337511900113896,1.0,0.6913062001112849,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
cushion,,,,0,12,12,1,,,,,10.374924100004137,,10.338074300205335,10.374924100004137,10.374924100004137,10.970221400028095,1.0,0.5853454999160022,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
case,,,,0,13,13,10,,,,,10.991467400221154,,10.97073270007968,10.991467400221154,10.991467400221154,11.714168000034988,1.0,0.7096071999985725,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
book,,,,0,14,14,0,,,,,11.741897100117058,,11.7144570001401,11.741897100117058,11.741897100117058,12.381927200127393,1.0,0.6339419998694211,,,,,,,,,,,,,,,0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,c_m_ra,camera,new,,,,,0,0,0,19,12.42529320018366,,,,,,,,12.388943300116807,12.42529320018366,12.42529320018366,12.42529320018366,0.010467699961736798,17.532669100211933,"camera
","[-0.5, 0.06166666666666667]","[-0.2783333333333333, -0.28833333333333333]","[1, 1]","[0, 0]","[0, 0]","[0.20599879999645054, 5.139206900028512]",['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,p_nc_l,pencil,new,,,,,0,1,1,16,17.557858700165525,,,,,,,,17.534517400199547,17.557858700165525,17.557858700165525,17.557858700165525,0.0042952001094818115,20.76492810016498,pencil,[0.06166666666666667],[-0.28833333333333333],[1],[0],[0],[3.22539610019885],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,p_st_r,poster,old,,,,,0,2,2,9,20.791547500062734,,,,,,,,20.76622340013273,20.791547500062734,20.791547500062734,20.791547500062734,0.005020699929445982,25.43084829999134,pastri,[0.06166666666666667],[-0.28833333333333333],[1],[0],[0],[4.658908499870449],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,_oo_,book,old,,,,,0,3,3,13,25.457464900100604,,,,,,,,25.431906000012532,25.457464900100604,25.457464900100604,25.457464900100604,0.0038246000185608864,28.596124300034717,boot,[0.06166666666666667],[-0.28833333333333333],[1],[0],[0],[3.15983479982242],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,t_hi_t,thsirt,old,,,,,0,4,4,2,28.623985800193623,,,,,,,,28.596915900008753,28.623985800193623,28.623985800193623,28.623985800193623,0.003089499892666936,31.213944900082424,tshirt,[0.06166666666666667],[-0.28833333333333333],[1],[0],[0],[2.6134593999013305],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,bo_t_e,bottle,new,,,,,0,5,5,18,31.240725200157613,,,,,,,,31.214690000051633,31.240725200157613,31.240725200157613,31.240725200157613,0.002849999815225601,35.99830110021867,bottle,[0.06166666666666667],[-0.28833333333333333],[1],[0],[0],[4.779940000036731],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,_a_bl_,marble,old,,,,,0,6,6,11,36.02403190010227,,,,,,,,35.99938590009697,36.02403190010227,36.02403190010227,36.02403190010227,0.00414410000666976,39.48025400005281,table,[0.06166666666666667],[-0.28833333333333333],[1],[0],[0],[3.4761902999598533],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,_ha_t,chart,old,,,,,0,7,7,1,39.50745360017754,,,,,,,,39.48123530019075,39.50745360017754,39.50745360017754,39.50745360017754,0.003227700013667345,40.630784900160506,,[0.06166666666666667],[-0.28833333333333333],[1],[0],[0],[1.1455149999819696],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,_ruis_,cruise,old,,,,,0,8,8,6,40.65741720004007,,,,,,,,40.63198840012774,40.65741720004007,40.65741720004007,40.65741720004007,0.00417369999922812,43.66457850020379,crusie,[0.06166666666666667],[-0.28833333333333333],[1],[0],[0],[3.0276781001593918],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,l_pt_p,laptop,old,,,,,0,9,9,0,43.69053710019216,,,,,,,,43.66578979999758,43.69053710019216,43.69053710019216,43.69053710019216,0.004112800117582083,47.04537030006759,laptop,[0.06166666666666667],[-0.28833333333333333],[1],[0],[0],[3.3748878000769764],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,K_y_,keys,old,,,,,0,10,10,8,47.07372610014863,,,,,,,,47.046526700025424,47.07372610014863,47.07372610014863,47.07372610014863,0.006711200112476945,49.49784820014611,keys,[0.02666666666666667],[-0.32],[1],[0],[0],[2.4439182998612523],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,_ho_e,phone,old,,,,,0,11,11,12,49.523768700193614,,,,,,,,49.49884570017457,49.523768700193614,49.523768700193614,49.523768700193614,0.003914899891242385,53.363737400155514,phone,[0.02666666666666667],[-0.32],[1],[0],[0],[3.8601939999498427],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,ta_l_,table,new,,,,,0,12,12,15,53.38936730008572,,,,,,,,53.364911100128666,53.38936730008572,53.38936730008572,53.38936730008572,0.004348200047388673,56.53156860009767,table,[0.025],[-0.31166666666666665],[1],[0],[0],[3.161525300005451],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,c_s_,case,old,,,,,0,13,13,5,56.55618549999781,,,,,,,,56.53279730002396,56.55618549999781,56.55618549999781,56.55618549999781,0.00385090010240674,59.14714340004139,case,[0.025],[-0.31166666666666665],[1],[0],[0],[2.6097980001941323],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,c_s_io,cushion,old,,,,,0,14,14,14,59.17280320008285,,,,,,,,59.14821120002307,59.17280320008285,59.17280320008285,59.17280320008285,0.004445799859240651,61.83076780010015,casio,[0.025],[-0.31166666666666665],[1],[0],[0],[2.67740450007841],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,_ouse,mouse,old,,,,,0,15,15,3,61.8562861001119,,,,,,,,61.8320023000706,61.8562861001119,61.8562861001119,61.8562861001119,0.004662000108510256,64.76346430019476,mouse,[0.025],[-0.31166666666666665],[1],[0],[0],[2.926056900061667],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,P_li_e,police,old,,,,,0,16,16,7,64.78979130019434,,,,,,,,64.7646199001465,64.78979130019434,64.78979130019434,64.78979130019434,0.0067078000865876675,69.06001660018228,police,[0.025],[-0.31166666666666665],[1],[0],[0],[4.288296699989587],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,_o_rd,board,old,,,,,0,17,17,10,69.07297460013069,,,,,,,,69.060638200026,69.07297460013069,69.07297460013069,69.07297460013069,0.0024896999821066856,74.76311000017449,board,[0.025],[-0.31166666666666665],[1],[0],[0],[5.699137100018561],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,v_s_,vase,new,,,,,0,18,18,17,74.78872990002856,,,,,,,,74.76423300011083,74.78872990002856,74.78872990002856,74.78872990002856,0.00591750000603497,78.14578920020722,vase,[0.02666666666666667],[-0.28833333333333333],[1],[0],[0],[3.374909699894488],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
,Pas_tr_,pastry,old,,,,,0,19,19,4,78.17217560019344,,,,,,,,78.14694940019399,78.17217560019344,78.17217560019344,78.17217560019344,0.00426219985820353,81.46131570008583,pastry,[0.02666666666666667],[-0.28833333333333333],[1],[0],[0],[3.309340399922803],['submit_text'],0004,001,2024-11-07_13h52.39.800,Task 5,2024.1.5,None,2024-11-07 13h52.53.231625 +0530,
